Month,Count
Apr 2006,43
Apr 2007,101
Apr 2008,713
Apr 2009,883
Apr 2010,432
Apr 2011,568
Aug 2006,73
Aug 2007,302
Aug 2008,542
Aug 2009,714
Aug 2010,580
Dec 2006,62
Dec 2007,453
Dec 2008,459
Dec 2009,563
Dec 2010,490
Feb 2006,17
Feb 2007,72
Feb 2008,610
Feb 2009,720
Feb 2010,518
Feb 2011,591
Jan 2007,105
Jan 2008,610
Jan 2009,523
Jan 2010,484
Jan 2011,500
Jul 2006,57
Jul 2007,244
Jul 2008,706
Jul 2009,923
Jul 2010,501
Jul 2011,204
Jun 2006,35
Jun 2007,212
Jun 2008,534
Jun 2009,850
Jun 2010,477
Jun 2011,547
Mar 2006,74
Mar 2007,136
Mar 2008,664
Mar 2009,726
Mar 2010,633
Mar 2011,707
May 2006,42
May 2007,152
May 2008,564
May 2009,817
May 2010,439
May 2011,606
Nov 2006,115
Nov 2007,442
Nov 2008,564
Nov 2009,729
Nov 2010,409
Oct 2006,87
Oct 2007,486
Oct 2008,666
Oct 2009,595
Oct 2010,528
Sep 2006,56
Sep 2007,409
Sep 2008,711
Sep 2009,629
Sep 2010,448
